Jop title,Company name,Location,Skills,links
Accountant,Dimofinf Operations Center,"Nasr City, Cairo, Egypt ",Full timeShift basedEntry Level · 1 - 2 Yrs of Exp · Finance · Accounting · Cash Flow · Microsoft Office · Microsoft Excel · Accounting Programs · Data Entry · English · Arabic · Web Services,https://wuzzuf.net/jobs/p/f7j8QZzcyFpR-Accountant-Dimofinf-Operations-Center-Cairo-Egypt?o=44&l=sp&t=sj&a=data analysis|search-v3|hpb
Marketing Analyst,Andalusia Group,"Abu Qir, Alexandria, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Market Research · Marketing · Analysis · Data Collection · Commerce · Research · SPSS · SAS · Marketing/PR/Advertising · Analyst/Research,https://wuzzuf.net/jobs/p/YFdAUDfNgIqr-Marketing-Analyst-Andalusia-Group-Alexandria-Egypt?o=45&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Quality Assurance Specialist -Software,WSM Co.,"Cairo, Egypt ",Full timeExperienced · 3 - 7 Yrs of Exp · Quality Assurance · Information Technology (IT) · Quality · Quality Control · Computer Science · Communication Skills · Analysis · Communication · Data · Regulatory,https://wuzzuf.net/jobs/p/7mtrcRu3SyaQ-Senior-Quality-Assurance-Specialist--Software-WSM-Co-Cairo-Egypt?o=46&l=sp&t=sj&a=data analysis|search-v3|hpb
Customer Experience & Quality Manager,Majorel Egypt,"Cairo, Egypt ",Full timeManager · 8+ Yrs of Exp · Customer Service · Customer Support · Customer Care · Quality Assurance · Experience · Analysis · Data Analysis · Coaching · Customer Service/Support · Operations/Management,https://wuzzuf.net/jobs/p/3RG0tU6SWTXo-Customer-Experience-Quality-Manager-Majorel-Egypt-Cairo-Egypt?o=47&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Business Analyst,Egabi FSI,"Sheraton, Cairo, Egypt ",Full timeExperienced · 5 - 8 Yrs of Exp · Analysis · Business Analysis · Information Technology (IT) · Computer Science · Data Analysis · English · Testing · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/EZcEAGUeq8T1-Senior-Business-Analyst-Egabi-FSI-Cairo-Egypt?o=48&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior .Net Developer,Z2 Data,"Nasr City, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · .NET · ASP.NET · C# · javaScript · MVC · SQL · jQuery,https://wuzzuf.net/jobs/p/VeLQAvmXAyTs-Senior-Net-Developer-Z2-Data-Cairo-Egypt?o=49&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior .NET SW Engineer - C#,ICT Cube,"Maadi, Cairo, Egypt ",Full timeExperienced · 7+ Yrs of Exp · ASP.NET · .NET · Software Development · Software Engineering · Computer Science · Information Technology (IT) · OOP · System Design · Data Analysis · Data Structure,https://wuzzuf.net/jobs/p/yxe3ReIzQeyt-Senior-NET-SW-Engineer---C-ICT-Cube-Cairo-Egypt?o=50&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Data Center Solutions Presales Engineer,Interact Technology Solutions,"Maadi, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Pre-Sales · Engineering · Vmware · Information Technology (IT) · computer · Computer Science · Configuration · Science · Sales · Software Development,https://wuzzuf.net/jobs/p/GiGtYpV287J5-Senior-Data-Center-Solutions-Presales-Engineer-Interact-Technology-Solutions-Cairo-Egypt?o=51&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Data Analyst,Nana,"Sheraton, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Data Analysis · SQL · Tableau · BI · Power BI · Python · MYSQL · Data science · Data Manipulation · Data Visualization,https://wuzzuf.net/jobs/p/s1RxDd9HBn9a-Senior-Data-Analyst-Nana-Cairo-Egypt?o=52&l=sp&t=sj&a=data analysis|search-v3|hpb
Regional Accounting Manger,Confidential -,"Cairo, Egypt ",Full timeManager · 13 - 20 Yrs of Exp · Accounting · Finance · Financial Analysis · ERP · Financial Accounting · Financial Management · Financial Services · Financial Data Analysis · Finance Analysis · Accounting/Finance,https://wuzzuf.net/jobs/p/fS1atP3GmPWv-Regional-Accounting-Manger-Cairo-Egypt?o=53&l=sp&t=sj&a=data analysis|search-v3|hpb
E-Commerce Account Manager,Accessories shop,"Ataba, Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Communication · Microsoft Office · Sales Target · Account Management · Analysis · Data Analysis · Sales · Sales Skills · E-Commerce · Business Development,https://wuzzuf.net/jobs/p/7dQz9HmWBZu7-E-Commerce-Account-Manager-Accessories-shop-Cairo-Egypt?o=54&l=sp&t=sj&a=data analysis|search-v3|hpb
SEO Specialist - Remotely,04 Academy,"Cairo, Egypt ",Part timeFreelance / ProjectWork from homeExperienced · 2 - 3 Yrs of Exp · Analysis · campaigns · E-Marketing · Keyword research · Marketing · Research · search · Search Engine · SEO · Social Media,https://wuzzuf.net/jobs/p/E8m3USIN04FW-SEO-Specialist---Remotely-04-Academy-Cairo-Egypt?o=55&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Quality Assurance Specialist - Software,WSM Co.,"Sheikh Zayed, Giza, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Quality Control · Computer Science · Quality Assurance · Analysis · Communication Skills · Quality · Data · Communication · IT/Software Development · Quality,https://wuzzuf.net/jobs/p/bxoMqZ8db26B-Senior-Quality-Assurance-Specialist---Software-WSM-Co-Giza-Egypt?o=56&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Quality Assurance Specialist,WSM Co.,"Cairo, Egypt ",Full timeExperienced · 3 - 7 Yrs of Exp · Quality Assurance · Information Technology (IT) · Quality · Quality Control · Computer Science · Communication Skills · Analysis · Communication · Data · Regulatory,https://wuzzuf.net/jobs/p/1At98BvlLxyK-Senior-Quality-Assurance-Specialist-WSM-Co-Cairo-Egypt?o=57&l=sp&t=sj&a=data analysis|search-v3|hpb
Thermal Simulation/Analysis/ Management/Design Engineer - Night Shift,GlassQbe ,"Cairo, Egypt ",Full timeWork from homeExperienced · 5+ Yrs of Exp · Engineering · fans · vapor chambers · heat transfer · 3D CAD · Solidworks · Design · Thermal Engineering · Air Movers · Blowers,https://wuzzuf.net/jobs/p/eFCkl4HZZyVr-Thermal-SimulationAnalysis-ManagementDesign-Engineer---Night-Shift-GlassQbe-Cairo-Egypt?o=58&l=sp&t=sj&a=data analysis|search-v3|hpb
Industrial Quality Internship - Alexandria,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt),"Ameria, Alexandria, Egypt ",InternshipEntry Level · 0 - 1 Yrs of Exp · males_only · industrial Quality · Data Analysis · Reporting · Engineering · Mechanical · Electromechanical Engineering · Quality · Engineering - Mechanical/Electrical,https://wuzzuf.net/jobs/p/6gcGKtKhc08t-Industrial-Quality-Internship---Alexandria-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt?o=59&l=sp&t=sj&a=data analysis|search-v3|hpb
SEO Specialist,e Aswaaq Misr,"Giza, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · English · Social Media · Marketing · Arabic · E-Commerce · Photoshop · Data Analysis · SEO · Digital Marketing · Media,https://wuzzuf.net/jobs/p/mgnfDoSSvWf4-SEO-Specialist-e-Aswaaq-Misr-Giza-Egypt?o=60&l=sp&t=sj&a=data analysis|search-v3|hpb
